episode,description,rating,number of votes,air date,Season,Episode,Title
S6.E24 ∙ Evergreen,"Set in the Prehistoric Era, Evergreen and his apprentice Gunter have to stop a comet heading towards Earth.",8.9,1.6K,"Thu, Jan 15, 2015",6,24,Evergreen
S6.E25 ∙ Astral Plane,"Finn and Jake go camping in the woods. When they go to sleep, Finn has an out-of-body experience and visits other creatures all around Ooo while he slowly ascends to space.",8.9,1.6K,"Thu, Jan 22, 2015",6,25,Astral Plane
S6.E26 ∙ Gold Stars,"During his first day of school, Sweet Pea is approached by the King of OOO and his companion, Toronto, who lure him into dancing in public.",8.0,1.4K,"Thu, Jan 29, 2015",6,26,Gold Stars
S6.E27 ∙ The Visitor,Finn's dream about following a comet to its crash site reunites him with an old friend.,7.8,1.4K,"Thu, Feb 5, 2015",6,27,The Visitor
S6.E28 ∙ The Mountain,"Feeling unfulfilled, both Lemongrab and Finn take an introspective journey into the Mountain of Matthew. Inside, they are faced with their desires, their fears and themselves, and must make a pivotal choice.",7.7,1.4K,"Thu, Feb 12, 2015",6,28,The Mountain
S6.E29 ∙ Dark Purple,Susan Strong and her allies infiltrate the mysterious Super Porp factory.,7.5,1.4K,"Thu, Feb 19, 2015",6,29,Dark Purple
S6.E30 ∙ The Diary,"Jake's son T.V. discovers a mysterious diary in the dried-up moat of the Candy Kingdom, and becomes obsessed with finding out more about the writer known only as ""B.P.",7.8,1.4K,"Thu, Feb 26, 2015",6,30,The Diary
S6.E31 ∙ Walnuts & Rain,Finn & Jake stumble into two different holes and meet two different fates.,7.9,1.4K,"Thu, Mar 5, 2015",6,31,Walnuts & Rain
S6.E32 ∙ Friends Forever,The Ice King struggles with the consequences of making new friends.,7.2,1.4K,"Thu, Apr 16, 2015",6,32,Friends Forever
S6.E33 ∙ Jermaine,Jake meets his brother Jermaine in a dream and decides to visit him in the real world.,8.1,1.4K,"Thu, Apr 23, 2015",6,33,Jermaine
S6.E34 ∙ Chips & Ice Cream,BMO'S favorite artists find a new home in the treehouse.,6.7,1.4K,"Thu, Apr 30, 2015",6,34,Chips & Ice Cream
S6.E35 ∙ Graybles 1000+,Cuber returns for the telling of another installment of the Graybles.,8.3,1.4K,"Thu, May 7, 2015",6,35,Graybles 1000+
S6.E36 ∙ Hoots,A charismatic stranger in Finn's dream leads Cosmic Owl to shirk his duties.,8.2,1.4K,"Thu, May 14, 2015",6,36,Hoots
S6.E37 ∙ Water Park Prank,Finn and Jake enjoy a day at the water park.,5.0,1.7K,"Thu, May 21, 2015",6,37,Water Park Prank
S6.E38 ∙ You Forgot Your Floaties,Finn and Jake storm Magic Man's house to rescue his new apprentice.,8.4,1.4K,"Mon, Jun 1, 2015",6,38,You Forgot Your Floaties
